anio,trimestre,provincia,accesos_100_hab,accesos_100_hog
2021,1,Tucumán,9.67,39.03
2021,2,Buenos Aires,13.65,41.31
2021,2,CABA,27.67,66.68
2021,2,Catamarca,6.44,25.34
2021,2,Chaco,6.3,23.56
2021,2,Chubut,11.82,38.57
2021,2,Córdoba,13.31,43.49
2021,2,Corrientes,7.19,27.3
2021,2,Entre Ríos,12.17,40.7
2021,2,Formosa,5.31,20.86
2021,2,Jujuy,4.77,18.67
2021,2,La Pampa,19.91,60.42
2021,2,La Rioja,5.69,21.37
2021,2,Mendoza,9.86,35.33
2021,2,Misiones,6.45,23.67
2021,2,Neuquén,11.2,37.63
2021,2,Río Negro,11.26,36.6
2021,2,Salta,6.76,27.92
2021,2,San Juan,9.59,37.64
2021,2,San Luis,6.78,23.69
2021,2,Santa Cruz,7.39,24.84
2021,2,Santa Fe,15.71,49.96
2021,2,Santiago del Estero,6.02,24.26
2021,2,Tierra del Fuego,12.46,42.04
2021,2,Tucumán,8.27,33.37
2021,3,Buenos Aires,18.01,54.38
